Cell,cell_type
DSP-1001660020565-D-H04,EBV-_CD8naive
DSP-1001660020565-D-H05,EBV-_Other
DSP-1001660020565-D-H06,EBV-_Tumor
DSP-1001660020565-D-H07,EBV-_CD4mem
DSP-1001660020565-D-H08,EBV-_CD4naive
DSP-1001660020565-D-H09,EBV-_CD8mem
DSP-1001660020565-D-H10,EBV-_CD8naive
DSP-1001660020565-D-H11,EBV-_Other
DSP-1001660020565-D-H12,EBV-_CD4mem
DSP-1001660018929-E-A02,EBV-_CD4naive
DSP-1001660018929-E-A03,EBV-_CD8mem
DSP-1001660018929-E-A04,EBV-_CD8naive
DSP-1001660018929-E-A05,EBV-_Other
DSP-1001660018929-E-A06,EBV+_Tumor
DSP-1001660018929-E-A07,EBV+_CD4mem
DSP-1001660018929-E-A08,EBV+_CD4naive
DSP-1001660018929-E-A09,EBV+_CD8mem
DSP-1001660018929-E-A10,EBV+_CD8naive
DSP-1001660018929-E-A11,EBV+_Other
DSP-1001660018929-E-A12,EBV+_Tumor
DSP-1001660018929-E-B01,EBV+_CD4mem
DSP-1001660018929-E-B02,EBV+_CD4naive
DSP-1001660018929-E-B03,EBV+_CD8mem
DSP-1001660018929-E-B04,EBV+_CD8naive
DSP-1001660018929-E-B05,EBV+_Other
DSP-1001660018929-E-B06,EBV+_Tumor
DSP-1001660018929-E-B07,EBV+_CD4mem
DSP-1001660018929-E-B08,EBV+_CD4naive
DSP-1001660018929-E-B09,EBV+_CD8mem
DSP-1001660018929-E-B10,EBV+_CD8naive
DSP-1001660018929-E-B11,EBV+_Other
DSP-1001660018929-E-B12,EBV+_Tumor
DSP-1001660018929-E-C01,EBV+_CD4mem
DSP-1001660018929-E-C02,EBV+_CD4naive
DSP-1001660018929-E-C03,EBV+_CD8mem
DSP-1001660018929-E-C04,EBV+_CD8naive
DSP-1001660018929-E-C05,EBV+_Other
DSP-1001660018929-E-C06,EBV-_Tumor
DSP-1001660018929-E-C07,EBV-_CD4mem
DSP-1001660018929-E-C08,EBV-_CD4naive
DSP-1001660018929-E-C09,EBV-_CD8mem
DSP-1001660018929-E-C10,EBV-_CD8naive
DSP-1001660018929-E-C11,EBV-_Other
DSP-1001660018929-E-C12,EBV-_Tumor
DSP-1001660018929-E-D01,EBV-_CD4mem
DSP-1001660018929-E-D02,EBV-_CD4naive
DSP-1001660018929-E-D03,EBV-_CD8mem
DSP-1001660018929-E-D04,EBV-_CD8naive
DSP-1001660018929-E-D05,EBV-_Other
DSP-1001660018929-E-D06,EBV-_Tumor
DSP-1001660018929-E-D07,EBV-_CD4mem
DSP-1001660018929-E-D08,EBV-_CD4naive
DSP-1001660018929-E-D09,EBV-_CD8mem
DSP-1001660018929-E-D10,EBV-_CD8naive
DSP-1001660018929-E-D11,EBV-_Other
DSP-1001660018929-E-D12,EBV-_Tumor
DSP-1001660018929-E-E01,EBV-_CD4mem
DSP-1001660018929-E-E02,EBV-_CD4naive
DSP-1001660018929-E-E03,EBV-_CD8mem
DSP-1001660018929-E-E04,EBV-_CD8naive
DSP-1001660018929-E-E05,EBV-_Other
DSP-1001660018929-E-E06,EBV-_CD4mem
DSP-1001660018929-E-E07,EBV-_CD4naive
DSP-1001660018929-E-E08,EBV-_CD8mem
DSP-1001660018929-E-E09,EBV-_CD8naive
DSP-1001660018929-E-E10,EBV-_Other
DSP-1001660018929-E-E11,EBV-_Tumor
DSP-1001660018929-E-E12,EBV-_CD4mem
DSP-1001660018929-E-F01,EBV-_CD4naive
DSP-1001660018929-E-F02,EBV-_CD8mem
DSP-1001660018929-E-F03,EBV-_CD8naive
DSP-1001660018929-E-F04,EBV-_Other
DSP-1001660018929-E-F05,EBV-_Tumor
DSP-1001660018929-E-F06,EBV-_CD4mem
DSP-1001660018929-E-F07,EBV-_CD4naive
DSP-1001660018929-E-F08,EBV-_CD8mem
DSP-1001660018929-E-F09,EBV-_CD8naive
DSP-1001660018929-E-F10,EBV-_Other
DSP-1001660018929-E-F11,EBV-_Tumor
DSP-1001660018929-E-F12,EBV-_CD4mem
DSP-1001660018929-E-G01,EBV-_CD4naive
DSP-1001660018929-E-G02,EBV-_CD8mem
DSP-1001660018929-E-G03,EBV-_CD8naive
DSP-1001660018929-E-G04,EBV-_Other
DSP-1001660018929-E-G05,EBV-_Tumor
DSP-1001660018929-E-G06,EBV-_CD4mem
DSP-1001660018929-E-G07,EBV-_CD4naive
DSP-1001660018929-E-G08,EBV-_CD8mem
DSP-1001660018929-E-G09,EBV-_CD8naive
DSP-1001660018929-E-G10,EBV-_Other
DSP-1001660018929-E-G11,EBV+_Tumor
DSP-1001660018929-E-G12,EBV+_CD4mem
DSP-1001660018929-E-H01,EBV+_CD4naive
DSP-1001660018929-E-H02,EBV+_CD8mem
DSP-1001660018929-E-H03,EBV+_CD8naive
DSP-1001660018929-E-H04,EBV+_Other
DSP-1001660018929-E-H05,EBV+_Tumor
DSP-1001660018929-E-H06,EBV+_CD4mem
DSP-1001660018929-E-H07,EBV+_CD4naive
DSP-1001660018929-E-H08,EBV+_CD8mem
DSP-1001660018929-E-H09,EBV+_CD8naive
DSP-1001660018929-E-H10,EBV+_Other
DSP-1001660018929-E-H11,EBV+_Tumor
DSP-1001660018929-E-H12,EBV+_CD4mem
DSP-1001660018926-F-A02,EBV+_CD4naive
DSP-1001660018926-F-A03,EBV+_CD8mem
DSP-1001660018926-F-A04,EBV+_CD8naive
DSP-1001660018926-F-A05,EBV+_Other
DSP-1001660018926-F-A06,EBV-_Tumor
DSP-1001660018926-F-A07,EBV-_CD4mem
DSP-1001660018926-F-A08,EBV-_CD4naive
DSP-1001660018926-F-A09,EBV-_CD8mem
DSP-1001660018926-F-A10,EBV-_CD8naive
DSP-1001660018926-F-A11,EBV-_Other
DSP-1001660018926-F-A12,EBV-_Tumor
DSP-1001660018926-F-B01,EBV-_CD4mem
DSP-1001660018926-F-B02,EBV-_CD4naive
DSP-1001660018926-F-B03,EBV-_CD8mem
DSP-1001660018926-F-B04,EBV-_CD8naive
DSP-1001660018926-F-B05,EBV-_Other
DSP-1001660018926-F-B06,EBV+_Tumor
DSP-1001660018926-F-B07,EBV+_CD4mem
DSP-1001660018926-F-B08,EBV+_CD4naive
DSP-1001660018926-F-B09,EBV+_CD8mem
DSP-1001660018926-F-B10,EBV+_CD8naive
DSP-1001660018926-F-B11,EBV+_Other
DSP-1001660018926-F-B12,EBV-_Tumor
DSP-1001660018926-F-C01,EBV-_CD4mem
DSP-1001660018926-F-C02,EBV-_CD4naive
DSP-1001660018926-F-C03,EBV-_CD8mem
DSP-1001660018926-F-C04,EBV-_CD8naive
DSP-1001660018926-F-C05,EBV-_Other
DSP-1001660018926-F-C06,EBV-_Tumor
DSP-1001660018926-F-C07,EBV-_CD4mem
DSP-1001660018926-F-C08,EBV-_CD4naive
DSP-1001660018926-F-C09,EBV-_CD8mem
DSP-1001660018926-F-C10,EBV-_CD8naive
DSP-1001660018926-F-C11,EBV-_Other
DSP-1001660018926-F-C12,EBV+_Tumor
DSP-1001660018926-F-D01,EBV+_CD4mem
DSP-1001660018926-F-D02,EBV+_CD4naive
DSP-1001660018926-F-D03,EBV+_CD8mem
DSP-1001660018926-F-D04,EBV+_CD8naive
DSP-1001660018926-F-D05,EBV+_Other
DSP-1001660018926-F-D06,EBV+_Tumor
DSP-1001660018926-F-D07,EBV+_CD4mem
DSP-1001660018926-F-D08,EBV+_CD4naive
DSP-1001660018926-F-D09,EBV+_CD8mem
DSP-1001660018926-F-D10,EBV+_CD8naive
DSP-1001660018926-F-D11,EBV+_Other
DSP-1001660018926-F-D12,EBV-_Tumor
DSP-1001660018926-F-E01,EBV-_CD4mem
DSP-1001660018926-F-E02,EBV-_CD4naive
DSP-1001660018926-F-E03,EBV-_CD8mem
DSP-1001660018926-F-E04,EBV-_CD8naive
DSP-1001660018926-F-E05,EBV-_Other
DSP-1001660018926-F-E06,EBV-_Tumor
DSP-1001660018926-F-E07,EBV-_CD4mem
DSP-1001660018926-F-E08,EBV-_CD4naive
DSP-1001660018926-F-E09,EBV-_CD8mem
DSP-1001660018926-F-E10,EBV-_CD8naive
DSP-1001660018926-F-E11,EBV-_Other
DSP-1001660018926-F-E12,EBV+_Tumor
DSP-1001660018926-F-F01,EBV+_CD4mem
DSP-1001660018926-F-F02,EBV+_CD4naive
DSP-1001660018926-F-F03,EBV+_CD8mem
DSP-1001660018926-F-F04,EBV+_CD8naive
DSP-1001660018926-F-F05,EBV+_Other
DSP-1001660018926-F-F06,EBV+_Tumor
DSP-1001660018926-F-F07,EBV+_CD4mem
DSP-1001660018926-F-F08,EBV+_CD4naive
DSP-1001660018926-F-F09,EBV+_CD8mem
DSP-1001660018926-F-F10,EBV+_CD8naive
DSP-1001660018926-F-F11,EBV+_Other
DSP-1001660018926-F-F12,EBV-_Tumor
DSP-1001660018926-F-G01,EBV-_CD4mem
DSP-1001660018926-F-G02,EBV-_CD4naive
DSP-1001660018926-F-G03,EBV-_CD8mem
DSP-1001660018926-F-G04,EBV-_CD8naive
DSP-1001660018926-F-G05,EBV-_Other
DSP-1001660018926-F-G06,EBV-_Tumor
DSP-1001660018926-F-G07,EBV-_CD4mem
DSP-1001660018926-F-G08,EBV-_CD4naive
DSP-1001660018926-F-G09,EBV-_CD8mem
DSP-1001660018926-F-G10,EBV-_CD8naive
DSP-1001660018926-F-G11,EBV-_Other
DSP-1001660018926-F-G12,EBV-_Tumor
DSP-1001660018926-F-H01,EBV-_CD4mem
DSP-1001660018926-F-H02,EBV-_CD4naive
DSP-1001660018926-F-H03,EBV-_CD8mem
DSP-1001660018926-F-H04,EBV-_CD8naive
DSP-1001660018926-F-H05,EBV-_Other
DSP-1001660018926-F-H06,EBV-_Tumor
DSP-1001660018926-F-H07,EBV-_CD4mem
DSP-1001660018926-F-H08,EBV-_CD4naive
DSP-1001660018926-F-H09,EBV-_CD8mem
DSP-1001660018926-F-H10,EBV-_CD8naive
DSP-1001660018926-F-H11,EBV-_Other
DSP-1001660018926-F-H12,EBV+_Tumor
DSP-1001660018927-G-A02,EBV+_CD4mem
DSP-1001660018927-G-A03,EBV+_CD4naive
DSP-1001660018927-G-A04,EBV+_CD8mem
DSP-1001660018927-G-A05,EBV+_CD8naive
DSP-1001660018927-G-A06,EBV+_Other
DSP-1001660018927-G-A07,EBV+_Tumor
DSP-1001660018927-G-A08,EBV+_CD4mem
DSP-1001660018927-G-A09,EBV+_CD4naive
DSP-1001660018927-G-A10,EBV+_CD8mem
DSP-1001660018927-G-A11,EBV+_CD8naive
DSP-1001660018927-G-A12,EBV+_Other
DSP-1001660018927-G-B01,EBV+_Tumor
DSP-1001660018927-G-B02,EBV+_CD4mem
DSP-1001660018927-G-B03,EBV+_CD4naive
DSP-1001660018927-G-B04,EBV+_CD8mem
DSP-1001660018927-G-B05,EBV+_CD8naive
DSP-1001660018927-G-B06,EBV+_Other
DSP-1001660018927-G-B07,EBV+_Tumor
DSP-1001660018927-G-B08,EBV+_CD4mem
DSP-1001660018927-G-B09,EBV+_CD4naive
DSP-1001660018927-G-B10,EBV+_CD8mem
DSP-1001660018927-G-B11,EBV+_CD8naive
DSP-1001660018927-G-B12,EBV+_Other
DSP-1001660018927-G-C01,EBV-_Tumor
DSP-1001660018927-G-C02,EBV-_CD4mem
DSP-1001660018927-G-C03,EBV-_CD4naive
DSP-1001660018927-G-C04,EBV-_CD8mem
DSP-1001660018927-G-C05,EBV-_CD8naive
DSP-1001660018927-G-C06,EBV-_Other
DSP-1001660018927-G-C07,EBV-_Tumor
DSP-1001660018927-G-C08,EBV-_CD4mem
DSP-1001660018927-G-C09,EBV-_CD4naive
DSP-1001660018927-G-C10,EBV-_CD8mem
DSP-1001660018927-G-C11,EBV-_CD8naive
DSP-1001660018927-G-C12,EBV-_Other
DSP-1001660018927-G-D01,EBV+_Tumor
DSP-1001660018927-G-D02,EBV+_CD4mem
DSP-1001660018927-G-D03,EBV+_CD4naive
DSP-1001660018927-G-D04,EBV+_CD8mem
DSP-1001660018927-G-D05,EBV+_CD8naive
DSP-1001660018927-G-D06,EBV+_Other
DSP-1001660018927-G-D07,EBV+_Tumor
DSP-1001660018927-G-D08,EBV+_CD4mem
DSP-1001660018927-G-D09,EBV+_CD4naive
DSP-1001660018927-G-D10,EBV+_CD8mem
DSP-1001660018927-G-D11,EBV+_CD8naive
DSP-1001660018927-G-D12,EBV+_Other
DSP-1001660018927-G-E01,EBV-_Tumor
DSP-1001660018927-G-E02,EBV-_CD4mem
DSP-1001660018927-G-E03,EBV-_CD4naive
DSP-1001660018927-G-E04,EBV-_CD8mem
DSP-1001660018927-G-E05,EBV-_CD8naive
DSP-1001660018927-G-E06,EBV-_Other
DSP-1001660018927-G-E07,EBV+_Tumor
DSP-1001660018927-G-E08,EBV+_CD4mem
DSP-1001660018927-G-E09,EBV+_CD4naive
DSP-1001660018927-G-E10,EBV+_CD8mem
DSP-1001660018927-G-E11,EBV+_CD8naive
DSP-1001660018927-G-E12,EBV+_Other
DSP-1001660018927-G-F01,EBV-_Tumor
DSP-1001660018927-G-F02,EBV-_CD4mem
DSP-1001660018927-G-F03,EBV-_CD4naive
DSP-1001660018927-G-F04,EBV-_CD8mem
DSP-1001660018927-G-F05,EBV-_CD8naive
DSP-1001660018927-G-F06,EBV-_Other
DSP-1001660018927-G-F07,EBV-_Tumor
DSP-1001660018927-G-F08,EBV-_CD4mem
DSP-1001660018927-G-F09,EBV-_CD4naive
DSP-1001660018927-G-F10,EBV-_CD8mem
DSP-1001660018927-G-F11,EBV-_CD8naive
DSP-1001660018927-G-F12,EBV-_Other
DSP-1001660018927-G-G01,EBV+_Tumor
DSP-1001660018927-G-G02,EBV+_CD4mem
DSP-1001660018927-G-G03,EBV+_CD4naive
DSP-1001660018927-G-G04,EBV+_CD8mem
DSP-1001660018927-G-G05,EBV+_CD8naive
DSP-1001660018927-G-G06,EBV+_Other
DSP-1001660018927-G-G07,EBV+_Tumor
DSP-1001660018927-G-G08,EBV+_CD4mem
DSP-1001660018927-G-G09,EBV+_CD4naive
DSP-1001660018927-G-G10,EBV+_CD8mem
DSP-1001660018927-G-G11,EBV+_CD8naive
DSP-1001660018927-G-G12,EBV+_Other
DSP-1001660018927-G-H01,EBV-_Tumor
DSP-1001660018927-G-H02,EBV-_CD4mem
DSP-1001660018927-G-H03,EBV-_CD4naive
DSP-1001660018927-G-H04,EBV-_CD8mem
DSP-1001660018927-G-H05,EBV-_CD8naive
DSP-1001660018927-G-H06,EBV-_Other
DSP-1001660018927-G-H07,EBV+_Tumor
DSP-1001660018927-G-H08,EBV+_CD4mem
DSP-1001660018927-G-H09,EBV+_CD4naive
DSP-1001660018927-G-H10,EBV+_CD8mem
DSP-1001660018927-G-H11,EBV+_CD8naive
DSP-1001660018927-G-H12,EBV+_Other
DSP-1001660018928-H-A02,EBV+_Tumor
DSP-1001660018928-H-A03,EBV+_CD4mem
DSP-1001660018928-H-A04,EBV+_CD4naive
DSP-1001660018928-H-A05,EBV+_CD8mem
DSP-1001660018928-H-A06,EBV+_CD8naive
DSP-1001660018928-H-A07,EBV+_Other
DSP-1001660018928-H-A08,EBV-_Tumor
DSP-1001660018928-H-A09,EBV-_CD4mem
DSP-1001660018928-H-A10,EBV-_CD4naive
DSP-1001660018928-H-A11,EBV-_CD8mem
DSP-1001660018928-H-A12,EBV-_CD8naive
DSP-1001660018928-H-B01,EBV-_Other
DSP-1001660018928-H-B02,EBV-_Tumor
DSP-1001660018928-H-B03,EBV-_CD4mem
DSP-1001660018928-H-B04,EBV-_CD4naive
DSP-1001660018928-H-B05,EBV-_CD8mem
DSP-1001660018928-H-B06,EBV-_CD8naive
DSP-1001660018928-H-B07,EBV-_Other
DSP-1001660018928-H-B08,EBV-_Tumor
DSP-1001660018928-H-B09,EBV-_CD4mem
DSP-1001660018928-H-B10,EBV-_CD4naive
DSP-1001660018928-H-B11,EBV-_CD8mem
DSP-1001660018928-H-B12,EBV-_CD8naive
DSP-1001660018928-H-C01,EBV-_Other
DSP-1001660018928-H-C02,EBV+_Tumor
DSP-1001660018928-H-C03,EBV+_CD4mem
DSP-1001660018928-H-C04,EBV+_CD4naive
DSP-1001660018928-H-C05,EBV+_CD8mem
DSP-1001660018928-H-C06,EBV+_CD8naive
DSP-1001660018928-H-C07,EBV+_Other
DSP-1001660018928-H-C08,EBV+_Tumor
DSP-1001660018928-H-C09,EBV+_CD4mem
DSP-1001660018928-H-C10,EBV+_CD4naive
DSP-1001660018928-H-C11,EBV+_CD8mem
DSP-1001660018928-H-C12,EBV+_CD8naive
DSP-1001660018928-H-D01,EBV+_Other
DSP-1001660018928-H-D02,EBV-_Tumor
DSP-1001660018928-H-D03,EBV-_CD4mem
DSP-1001660018928-H-D04,EBV-_CD4naive
DSP-1001660018928-H-D05,EBV-_CD8mem
DSP-1001660018928-H-D06,EBV-_CD8naive
DSP-1001660018928-H-D07,EBV-_Other
DSP-1001660018928-H-D08,EBV-_Tumor
DSP-1001660018928-H-D09,EBV-_CD4mem
DSP-1001660018928-H-D10,EBV-_CD4naive
DSP-1001660018928-H-D11,EBV-_CD8mem
DSP-1001660018928-H-D12,EBV-_CD8naive
DSP-1001660018928-H-E01,EBV-_Other
DSP-1001660018928-H-E02,EBV+_Tumor
DSP-1001660018928-H-E03,EBV+_CD4mem
DSP-1001660018928-H-E04,EBV+_CD4naive
DSP-1001660018928-H-E05,EBV+_CD8mem
DSP-1001660018928-H-E06,EBV+_CD8naive
DSP-1001660018928-H-E07,EBV+_Other
DSP-1001660018928-H-E08,EBV+_Tumor
DSP-1001660018928-H-E09,EBV+_CD4mem
DSP-1001660018928-H-E10,EBV+_CD4naive
DSP-1001660018928-H-E11,EBV+_CD8mem
DSP-1001660018928-H-E12,EBV+_CD8naive
DSP-1001660018928-H-F01,EBV+_Other
DSP-1001660018928-H-F02,EBV+_Tumor
DSP-1001660018928-H-F03,EBV+_CD4mem
DSP-1001660018928-H-F04,EBV+_CD4naive
DSP-1001660018928-H-F05,EBV+_CD8mem
DSP-1001660018928-H-F06,EBV+_CD8naive
DSP-1001660018928-H-F07,EBV+_Other
DSP-1001660018928-H-F08,EBV+_Tumor
DSP-1001660018928-H-F09,EBV+_CD4mem
DSP-1001660018928-H-F10,EBV+_CD4naive
DSP-1001660018928-H-F11,EBV+_CD8mem
DSP-1001660018928-H-F12,EBV+_CD8naive
DSP-1001660018928-H-G01,EBV+_Other